year_awarded,nobel_prize,recipient,gender,prize_amount,birth_place
1972,The Nobel Prize in Chemistry,Christian Anfinsen,male,480000,USA
1972,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,John R. Hicks,male,480000,United Kingdom
1972,The Nobel Prize in  Literature,Heinrich Böll,male,480000,Germany
1972,The Nobel Prize in Physics,John Bardeen,male,480000,USA
1972,The Nobel Prize in Physiology or Medicine,Gerald M. Edelman,male,480000,USA
1973,The Nobel Prize in Chemistry,Ernst Otto Fischer,male,510000,Germany
1973,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Wassily Leontief,male,510000,Russia
1973,The Nobel Prize in  Literature,Patrick White,male,510000,United Kingdom
1973,The Nobel Peace Prize,Henry Kissinger,male,510000,Germany
1973,The Nobel Prize in Physics,Leo Esaki,male,510000,Japan
1973,The Nobel Prize in Physiology or Medicine,Karl von Frisch,male,510000,Austria
1974,The Nobel Prize in Chemistry,Paul J. Flory,male,550000,USA
1974,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Gunnar Myrdal,male,550000,Sweden
1974,The Nobel Prize in  Literature,Eyvind Johnson,male,550000,Sweden
1974,The Nobel Peace Prize,Seán MacBride,male,550000,France
1974,The Nobel Prize in Physics,Martin Ryle,male,550000,United Kingdom
1974,The Nobel Prize in Physiology or Medicine,Albert Claude,male,550000,Belgium
1975,The Nobel Prize in Chemistry,John Cornforth,male,630000,Australia
1975,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Leonid Vitaliyevich Kantorovich,male,630000,Russian Empire
1975,The Nobel Prize in  Literature,Eugenio Montale,male,630000,Italy
1975,The Nobel Peace Prize,Andrei Sakharov,male,630000,Russia
1975,The Nobel Prize in Physics,Aage N. Bohr,male,630000,Denmark
1975,The Nobel Prize in Physiology or Medicine,David Baltimore,male,630000,USA
1976,The Nobel Prize in Chemistry,William Lipscomb,male,681000,USA
1976,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Milton Friedman,male,681000,USA
1976,The Nobel Prize in  Literature,Saul Bellow,male,681000,Canada
1976,The Nobel Peace Prize,Betty Williams,female,681000,Northern Ireland
1976,The Nobel Prize in Physics,Burton Richter,male,681000,USA
1976,The Nobel Prize in Physiology or Medicine,Baruch S. Blumberg,male,681000,USA
1977,The Nobel Prize in Chemistry,Ilya Prigogine,male,700000,Russia
1977,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Bertil Ohlin,male,700000,Sweden
1977,The Nobel Prize in  Literature,Vicente Aleixandre,male,700000,Spain
1977,The Nobel Peace Prize,Amnesty International,NULL,700000,NULL
1977,The Nobel Prize in Physics,Philip W. Anderson,male,700000,USA
1977,The Nobel Prize in Physiology or Medicine,Roger Guillemin,male,700000,France
1978,The Nobel Prize in Chemistry,Peter Mitchell,male,725000,United Kingdom
1978,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Herbert Simon,male,725000,USA
1978,The Nobel Prize in  Literature,Isaac Bashevis Singer,male,725000,Russian Empire
1978,The Nobel Peace Prize,Anwar al-Sadat,male,725000,Egypt
1978,The Nobel Prize in Physics,Pyotr Kapitsa,male,725000,Russian Empire
1978,The Nobel Prize in Physiology or Medicine,Werner Arber,male,725000,Switzerland
1979,The Nobel Prize in Chemistry,Herbert C. Brown,male,800000,United Kingdom
1979,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Theodore W. Schultz,male,800000,USA
1979,The Nobel Prize in  Literature,Odysseus Elytis,male,800000,Crete
1979,The Nobel Peace Prize,Mother Teresa ,female,800000,Ottoman Empire
1979,The Nobel Prize in Physics,Sheldon Glashow,male,800000,USA
1979,The Nobel Prize in Physiology or Medicine,Allan M. Cormack,male,800000,South Africa
1980,The Nobel Prize in Chemistry,Paul Berg,male,880000,USA
1980,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Lawrence R. Klein,male,880000,USA
1980,The Nobel Prize in  Literature,Czeslaw Milosz,male,880000,Russian Empire
1980,The Nobel Peace Prize,Adolfo Pérez Esquivel,male,880000,Argentina
1980,The Nobel Prize in Physics,James Cronin,male,880000,USA
1980,The Nobel Prize in Physiology or Medicine,Baruj Benacerraf,male,880000,Venezuela
1981,The Nobel Prize in Chemistry,Kenichi Fukui,male,1000000,Japan
1981,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,James Tobin,male,1000000,USA
1981,The Nobel Prize in  Literature,Elias Canetti,male,1000000,Bulgaria
1981,The Nobel Peace Prize,Office of the United Nations High Commissioner for Refugees,NULL,1000000,NULL
1981,The Nobel Prize in Physics,Nicolaas Bloembergen,male,1000000,the Netherlands
1981,The Nobel Prize in Physiology or Medicine,Roger W. Sperry,male,1000000,USA
1982,The Nobel Prize in Chemistry,Aaron Klug,male,1150000,Lithuania
1982,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,George J. Stigler,male,1150000,USA
1982,The Nobel Prize in  Literature,Gabriel García Márquez,male,1150000,Colombia
1982,The Nobel Peace Prize,Alva Myrdal,female,1150000,Sweden
1982,The Nobel Prize in Physics,Kenneth G. Wilson,male,1150000,USA
1982,The Nobel Prize in Physiology or Medicine,Sune K. Bergström,male,1150000,Sweden
1983,The Nobel Prize in Chemistry,Henry Taube,male,1500000,Canada
1983,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Gerard Debreu,male,1500000,France
1983,The Nobel Prize in  Literature,William Golding,male,1500000,United Kingdom
1983,The Nobel Peace Prize,Lech Walesa,male,1500000,Poland
1983,The Nobel Prize in Physics,Subramanyan Chandrasekhar,male,1500000,India
1983,The Nobel Prize in Physiology or Medicine,Barbara McClintock,female,1500000,USA
1984,The Nobel Prize in Chemistry,Bruce Merrifield,male,1650000,USA
1984,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Richard Stone,male,1650000,United Kingdom
1984,The Nobel Prize in  Literature,Jaroslav Seifert,male,1650000,Austria-Hungary
1984,The Nobel Peace Prize,Desmond Tutu,male,1650000,South Africa
1984,The Nobel Prize in Physics,Carlo Rubbia,male,1650000,Italy
1984,The Nobel Prize in Physiology or Medicine,Niels K. Jerne,male,1650000,United Kingdom
1985,The Nobel Prize in Chemistry,Herbert A. Hauptman,male,1800000,USA
1985,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Franco Modigliani,male,1800000,Italy
1985,The Nobel Prize in  Literature,Claude Simon,male,1800000,Madagascar
1985,The Nobel Peace Prize,International Physicians for the Prevention of Nuclear War,NULL,1800000,NULL
1985,The Nobel Prize in Physics,Klaus von Klitzing,male,1800000,German-occupied Poland
1985,The Nobel Prize in Physiology or Medicine,Michael S. Brown,male,1800000,USA
1986,The Nobel Prize in Chemistry,Dudley R. Herschbach,male,2000000,USA
1986,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,James M. Buchanan Jr.,male,2000000,USA
1986,The Nobel Prize in  Literature,Wole Soyinka,male,2000000,Nigeria
1986,The Nobel Peace Prize,Elie Wiesel,male,2000000,Romania
1986,The Nobel Prize in Physics,Ernst Ruska,male,2000000,Germany
1986,The Nobel Prize in Physiology or Medicine,Stanley Cohen,male,2000000,USA
1987,The Nobel Prize in Chemistry,Donald J. Cram,male,2175000,USA
1987,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Robert M. Solow,male,2175000,USA
1987,The Nobel Prize in  Literature,Joseph Brodsky,male,2175000,USSR
1987,The Nobel Peace Prize,Oscar Arias Sánchez,male,2175000,Costa Rica
1987,The Nobel Prize in Physics,J. Georg Bednorz,male,2175000,West Germany
1987,The Nobel Prize in Physiology or Medicine,Susumu Tonegawa,male,2175000,Japan
1988,The Nobel Prize in Chemistry,Johann Deisenhofer,male,2500000,Germany
1988,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Maurice Allais,male,2500000,France
1988,The Nobel Prize in  Literature,Naguib Mahfouz,male,2500000,Egypt
1988,The Nobel Peace Prize,United Nations Peacekeeping Forces,NULL,2500000,NULL
1988,The Nobel Prize in Physics,Leon M. Lederman,male,2500000,USA
1988,The Nobel Prize in Physiology or Medicine,Sir James W. Black,male,2500000,Scotland
1989,The Nobel Prize in Chemistry,Sidney Altman,male,3000000,Canada
1989,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Trygve Haavelmo,male,3000000,Norway
1989,The Nobel Prize in  Literature,Camilo José Cela,male,3000000,Spain
1989,The Nobel Peace Prize,The 14th Dalai Lama ,male,3000000,Tibet
1989,The Nobel Prize in Physics,Norman F. Ramsey,male,3000000,USA
1989,The Nobel Prize in Physiology or Medicine,J. Michael Bishop,male,3000000,USA
1990,The Nobel Prize in Chemistry,Elias James Corey,male,4000000,USA
1990,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Harry M. Markowitz,male,4000000,USA
1990,The Nobel Prize in  Literature,Octavio Paz,male,4000000,Mexico
1990,The Nobel Peace Prize,Mikhail Gorbachev,male,4000000,USSR
1990,The Nobel Prize in Physics,Jerome I. Friedman,male,4000000,USA
1990,The Nobel Prize in Physiology or Medicine,Joseph E. Murray,male,4000000,USA
1991,The Nobel Prize in Chemistry,Richard R. Ernst,male,6000000,Switzerland
1991,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Ronald H. Coase,male,6000000,United Kingdom
1991,The Nobel Prize in  Literature,Nadine Gordimer,female,6000000,South Africa
1991,The Nobel Peace Prize,Aung San Suu Kyi ,female,6000000,Burma
1991,The Nobel Prize in Physics,Pierre-Gilles de Gennes,male,6000000,France
1991,The Nobel Prize in Physiology or Medicine,Erwin Neher,male,6000000,Germany
1992,The Nobel Prize in Chemistry,Rudolph A. Marcus,male,6500000,Canada
1992,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Gary Becker,male,6500000,USA
1992,The Nobel Prize in  Literature,Derek Walcott,male,6500000,Saint Lucia
1992,The Nobel Peace Prize,Rigoberta Menchú Tum,female,6500000,Guatemala
1992,The Nobel Prize in Physics,Georges Charpak,male,6500000,Poland
1992,The Nobel Prize in Physiology or Medicine,Edmond H. Fischer,male,6500000,China
1993,The Nobel Prize in Chemistry,Kary B. Mullis,male,6700000,USA
1993,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Robert W. Fogel,male,6700000,USA
1993,The Nobel Prize in  Literature,Toni Morrison,female,6700000,USA
1993,The Nobel Peace Prize,Nelson Mandela,male,6700000,South Africa
1993,The Nobel Prize in Physics,Russell A. Hulse,male,6700000,USA
1993,The Nobel Prize in Physiology or Medicine,Richard J. Roberts,male,6700000,United Kingdom
1994,The Nobel Prize in Chemistry,George A. Olah,male,7000000,Hungary
1994,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,John C. Harsanyi,male,7000000,Hungary
1994,The Nobel Prize in  Literature,Kenzaburo Oe,male,7000000,Japan
1994,The Nobel Peace Prize,Yasser Arafat,male,7000000,Egypt
1994,The Nobel Prize in Physics,Bertram N. Brockhouse,male,7000000,Canada
1994,The Nobel Prize in Physiology or Medicine,Alfred G. Gilman,male,7000000,USA
1995,The Nobel Prize in Chemistry,Paul J. Crutzen,male,7200000,the Netherlands
1995,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Robert E. Lucas Jr.,male,7200000,USA
1995,The Nobel Prize in  Literature,Seamus Heaney,male,7200000,Northern Ireland
1995,The Nobel Peace Prize,Joseph Rotblat,male,7200000,Russian Empire
1995,The Nobel Prize in Physics,Martin L. Perl,male,7200000,USA
1995,The Nobel Prize in Physiology or Medicine,Edward B. Lewis,male,7200000,USA
1996,The Nobel Prize in Chemistry,Robert F. Curl Jr.,male,7400000,USA
1996,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,James A. Mirrlees,male,7400000,Scotland
1996,The Nobel Prize in  Literature,Wislawa Szymborska,female,7400000,Poland
1996,The Nobel Peace Prize,Carlos Filipe Ximenes Belo,male,7400000,East Timor
1996,The Nobel Prize in Physics,David M. Lee,male,7400000,USA
1996,The Nobel Prize in Physiology or Medicine,Peter C. Doherty,male,7400000,Australia
1997,The Nobel Prize in Chemistry,Paul D. Boyer,male,7500000,USA
1997,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Robert C. Merton,male,7500000,USA
1997,The Nobel Prize in  Literature,Dario Fo,male,7500000,Italy
1997,The Nobel Peace Prize,International Campaign to Ban Landmines,NULL,7500000,NULL
1997,The Nobel Prize in Physics,Steven Chu,male,7500000,USA
1997,The Nobel Prize in Physiology or Medicine,Stanley B. Prusiner,male,7500000,USA
1998,The Nobel Prize in Chemistry,Walter Kohn,male,7600000,Austria
1998,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Amartya Sen,male,7600000,India
1998,The Nobel Prize in  Literature,José Saramago,male,7600000,Portugal
1998,The Nobel Peace Prize,John Hume,male,7600000,Northern Ireland
1998,The Nobel Prize in Physics,Robert B. Laughlin,male,7600000,USA
1998,The Nobel Prize in Physiology or Medicine,Robert F. Furchgott,male,7600000,USA
1999,The Nobel Prize in Chemistry,Ahmed Zewail,male,7900000,Egypt
1999,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Robert Mundell,male,7900000,Canada
1999,The Nobel Prize in  Literature,Günter Grass,male,7900000,Free City of Danzig
1999,The Nobel Peace Prize,Médecins Sans Frontières,NULL,7900000,NULL
1999,The Nobel Prize in Physics,Gerardus 't Hooft,male,7900000,the Netherlands
1999,The Nobel Prize in Physiology or Medicine,Günter Blobel,male,7900000,Germany
2000,The Nobel Prize in Chemistry,Alan Heeger,male,9000000,USA
2000,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,James J. Heckman,male,9000000,USA
2000,The Nobel Prize in  Literature,Gao Xingjian,male,9000000,China
2000,The Nobel Peace Prize,Kim Dae-jung,male,9000000,Korea
2000,The Nobel Prize in Physics,Zhores Alferov,male,9000000,USSR
2000,The Nobel Prize in Physiology or Medicine,Arvid Carlsson,male,9000000,Sweden
2001,The Nobel Prize in Chemistry,William Knowles,male,10000000,USA
2001,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,George A. Akerlof,male,10000000,USA
2001,The Nobel Prize in  Literature,V. S. Naipaul,male,10000000,Trinidad and Tobago
2001,The Nobel Peace Prize,United Nations,NULL,10000000,NULL
2001,The Nobel Prize in Physics,Eric Cornell,male,10000000,USA
2001,The Nobel Prize in Physiology or Medicine,Sir Paul Nurse,male,10000000,United Kingdom
2002,The Nobel Prize in Chemistry,John B. Fenn,male,10000000,USA
2002,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Daniel Kahneman,male,10000000,British Mandate of Palestine
2002,The Nobel Prize in  Literature,Imre Kertész,male,10000000,Hungary
2002,The Nobel Peace Prize,Jimmy Carter,male,10000000,USA
2002,The Nobel Prize in Physics,Raymond Davis Jr.,male,10000000,USA
2002,The Nobel Prize in Physiology or Medicine,Sydney Brenner,male,10000000,South Africa
2003,The Nobel Prize in Chemistry,Peter Agre,male,10000000,USA
2003,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Robert F. Engle III,male,10000000,USA
2003,The Nobel Prize in  Literature,J. M. Coetzee,male,10000000,South Africa
2003,The Nobel Peace Prize,Shirin Ebadi,female,10000000,Iran
2003,The Nobel Prize in Physics,Alexei Abrikosov,male,10000000,USSR
2003,The Nobel Prize in Physiology or Medicine,Paul C. Lauterbur,male,10000000,USA
2004,The Nobel Prize in Chemistry,Aaron Ciechanover,male,10000000,British Protectorate of Palestine
2004,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Finn E. Kydland,male,10000000,Norway
2004,The Nobel Prize in  Literature,Elfriede Jelinek,female,10000000,Austria
2004,The Nobel Peace Prize,Wangari Maathai,female,10000000,Kenya
2004,The Nobel Prize in Physics,David J. Gross,male,10000000,USA
2004,The Nobel Prize in Physiology or Medicine,Richard Axel,male,10000000,USA
2005,The Nobel Prize in Chemistry,Yves Chauvin,male,10000000,Belgium
2005,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Robert J. Aumann,male,10000000,Germany
2005,The Nobel Prize in  Literature,Harold Pinter,male,10000000,United Kingdom
2005,The Nobel Peace Prize,International Atomic Energy Agency,NULL,10000000,NULL
2005,The Nobel Prize in Physics,Roy J. Glauber,male,10000000,USA
2005,The Nobel Prize in Physiology or Medicine,Barry J. Marshall,male,10000000,Australia
2006,The Nobel Prize in Chemistry,Roger D. Kornberg,male,10000000,USA
2006,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Edmund S. Phelps,male,10000000,USA
2006,The Nobel Prize in  Literature,Orhan Pamuk,male,10000000,Turkey
2006,The Nobel Peace Prize,Muhammad Yunus,male,10000000,British India
2006,The Nobel Prize in Physics,John C. Mather,male,10000000,USA
2006,The Nobel Prize in Physiology or Medicine,Andrew Z. Fire,male,10000000,USA
2007,The Nobel Prize in Chemistry,Gerhard Ertl,male,10000000,Germany
2007,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Leonid Hurwicz,male,10000000,Russia
2007,The Nobel Prize in  Literature,Doris Lessing,female,10000000,Persia
2007,The Nobel Peace Prize,Intergovernmental Panel on Climate Change,NULL,10000000,NULL
2007,The Nobel Prize in Physics,Albert Fert,male,10000000,France
2007,The Nobel Prize in Physiology or Medicine,Mario R. Capecchi,male,10000000,Italy
2008,The Nobel Prize in Chemistry,Osamu Shimomura,male,10000000,Japan
2008,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Paul Krugman,male,10000000,USA
2008,The Nobel Prize in  Literature,Jean-Marie Gustave Le Clézio,male,10000000,France
2008,The Nobel Peace Prize,Martti Ahtisaari,male,10000000,Finland
2008,The Nobel Prize in Physics,Yoichiro Nambu,male,10000000,Japan
2008,The Nobel Prize in Physiology or Medicine,Harald zur Hausen,male,10000000,Germany
2009,The Nobel Prize in Chemistry,Venkatraman Ramakrishnan,male,10000000,India
2009,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Elinor Ostrom,female,10000000,USA
2009,The Nobel Prize in  Literature,Herta Müller,female,10000000,Romania
2009,The Nobel Peace Prize,Barack H. Obama,male,10000000,USA
2009,The Nobel Prize in Physics,Charles K. Kao,male,10000000,China
2009,The Nobel Prize in Physiology or Medicine,Elizabeth H. Blackburn,female,10000000,Australia
2010,The Nobel Prize in Chemistry,Richard F. Heck,male,10000000,USA
2010,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Peter A. Diamond,male,10000000,USA
2010,The Nobel Prize in  Literature,Mario Vargas Llosa,male,10000000,Peru
2010,The Nobel Peace Prize,Liu Xiaobo,male,10000000,China
2010,The Nobel Prize in Physics,Andre Geim,male,10000000,Russia
2010,The Nobel Prize in Physiology or Medicine,Robert G. Edwards,male,10000000,United Kingdom
2011,The Nobel Prize in Chemistry,Dan Shechtman,male,10000000,British Mandate of Palestine
2011,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Thomas J. Sargent,male,10000000,USA
2011,The Nobel Prize in  Literature,Tomas Tranströmer,male,10000000,Sweden
2011,The Nobel Peace Prize,Ellen Johnson Sirleaf,female,10000000,Liberia
2011,The Nobel Prize in Physics,Saul Perlmutter,male,10000000,USA
2011,The Nobel Prize in Physiology or Medicine,Bruce A. Beutler,male,10000000,USA
2012,The Nobel Prize in Chemistry,Robert J. Lefkowitz,male,8000000,USA
2012,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Alvin E. Roth,male,8000000,USA
2012,The Nobel Prize in  Literature,Mo Yan,male,8000000,China
2012,The Nobel Peace Prize,European Union (EU),NULL,8000000,NULL
2012,The Nobel Prize in Physics,Serge Haroche,male,8000000,Morocco
2012,The Nobel Prize in Physiology or Medicine,Sir John B. Gurdon,male,8000000,United Kingdom
2013,The Nobel Prize in Chemistry,Martin Karplus,male,8000000,Austria
2013,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Eugene F. Fama,male,8000000,USA
2013,The Nobel Prize in  Literature,Alice Munro,female,8000000,Canada
2013,The Nobel Peace Prize,Organisation for the Prohibition of Chemical Weapons,NULL,8000000,NULL
2013,The Nobel Prize in Physics,François Englert,male,8000000,Belgium
2013,The Nobel Prize in Physiology or Medicine,James E. Rothman,male,8000000,USA
2014,The Nobel Prize in Chemistry,Eric Betzig,male,8000000,USA
2014,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Jean Tirole,male,8000000,France
2014,The Nobel Prize in  Literature,Patrick Modiano,male,8000000,France
2014,The Nobel Peace Prize,Kailash Satyarthi,male,8000000,India
2014,The Nobel Prize in Physics,Isamu Akasaki,male,8000000,Japan
2014,The Nobel Prize in Physiology or Medicine,John O'Keefe,male,8000000,USA
2015,The Nobel Prize in Chemistry,Tomas Lindahl,male,8000000,Sweden
2015,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Angus Deaton,male,8000000,Scotland
2015,The Nobel Prize in  Literature,Svetlana Alexievich,female,8000000,Ukraine
2015,The Nobel Peace Prize,National Dialogue Quartet ,NULL,8000000,NULL
2015,The Nobel Prize in Physics,Takaaki Kajita,male,8000000,Japan
2015,The Nobel Prize in Physiology or Medicine,William C. Campbell,male,8000000,Ireland
2016,The Nobel Prize in Chemistry,Jean-Pierre Sauvage,male,8000000,France
2016,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Oliver Hart,male,8000000,United Kingdom
2016,The Nobel Prize in  Literature,Bob Dylan,male,8000000,USA
2016,The Nobel Peace Prize,Juan Manuel Santos,male,8000000,Colombia
2016,The Nobel Prize in Physics,David J. Thouless,male,8000000,United Kingdom
2016,The Nobel Prize in Physiology or Medicine,Yoshinori Ohsumi,male,8000000,Japan
2017,The Nobel Prize in Chemistry,Jacques Dubochet,male,9000000,Switzerland
2017,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Richard H. Thaler,male,9000000,USA
2017,The Nobel Prize in  Literature,Kazuo Ishiguro,male,9000000,Japan
2017,The Nobel Peace Prize,International Campaign to Abolish Nuclear Weapons (ICAN),NULL,9000000,NULL
2017,The Nobel Prize in Physics,Rainer Weiss,male,9000000,Germany
2017,The Nobel Prize in Physiology or Medicine,Jeffrey C. Hall,male,9000000,USA
2018,The Nobel Prize in Chemistry,Frances H. Arnold,female,9000000,USA
2018,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,William D. Nordhaus,male,9000000,USA
2018,The Nobel Prize in  Literature,Olga Tokarczuk,female,9000000,Poland
2018,The Nobel Peace Prize,Denis Mukwege,male,9000000,Belgian Congo
2018,The Nobel Prize in Physics,Arthur Ashkin,male,9000000,USA
2018,The Nobel Prize in Physiology or Medicine,James P. Allison,male,9000000,USA
2019,The Nobel Prize in Chemistry,John B. Goodenough,male,9000000,Germany
2019,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Abhijit Banerjee,male,9000000,India
2019,The Nobel Prize in  Literature,Peter Handke,male,9000000,Austria
2019,The Nobel Peace Prize,Abiy Ahmed Ali,male,9000000,Ethiopia
2019,The Nobel Prize in Physics,James Peebles,male,9000000,Canada
2019,The Nobel Prize in Physiology or Medicine,William G. Kaelin Jr,male,9000000,USA
